PDTB    Pedot
PDT1    Pedot
PDT2    Pedot
PDT3    Pedot
PDT4    Pedot
PDT5    Pedot
PDT6    Pedot
PDTE    Pedot
SSHB    pss
SSH     pss
SS      pss
SSE     pss
MET     ch4
ETH     eth
SOL	Water
WAT	Water
HOH	Water
OHH	Water
TIP	Water
T3P	Water
T4P	Water
T5P	Water
T3H	Water
K	Ion
NA	Ion
CA	Ion
MG	Ion
CL	Ion
ZN	Ion
CU1	Ion
CU	Ion
LI	Ion
NA+	Ion
RB	Ion
CS	Ion
F	Ion
CL-	Ion
BR	Ion
I	Ion
OH	Ion
Cal	Ion
IB+	Ion
